
City,Number of Tracts,Total polulation,Percent Black,Percent White,Edge,Edge rank,HEdge,HEdge rank,HEdgeInfinity (True),HEdgeInfinity (True) rank,Typo HEI,Typo HEI rank,Dissimilarity,Dissimilarity rank,Gini,Gini rank,Moran's I,Moran's I rank,Population standard deviation
Albany-Schenectady-Troy_NY,238,955015.0,4.063182253681879,93.12251640026597,0.48989700155032456,45,0.5562736521652493,74,0.5944126088694179,70,0.0020103399686136497,27,0.47541431890377933,61,0.62808128473133229,61,0.4604897249019872,55,1820.8865565996989
Ann-Arbor_MI,95,341798.0,9.818079684492009,84.40745703602713,0.44114692837987884,81,0.5393317030250079,84,0.5790316861279589,80,0.0010597603792838325,56,0.43457232186788836,76,0.58867741475005408,74,0.22206259436193876,94,1731.2917796112777
Athens-Clarke-County_GA,54,192110.0,21.156108479516945,76.27453021706314,0.39758450434073217,100,0.530130235473681,86,0.5747292985598141,84,0.0005944398695784529,80,0.38666697072418049,85,0.52236035163842409,87,0.3536949064149412,76,2122.727957644915
Atlanta-Sandy-Springs-Gainesville_GA-AL,538,3082308.0,25.126463675920775,71.07852297693806,0.5453800026075142,16,0.690033929092862,12,0.7151186805962318,16,0.0006971369567272545,72,0.59919547759642555,24,0.75820526471716287,23,0.6550623665913905,15,3195.7314464625106
Austin-Round-Rock_TX,259,912707.0,8.719227528659253,68.39982601207178,0.42827627889907494,87,0.5796155229082076,59,0.6002398282279553,68,0.0006547188685082451,76,0.40834404019046383,82,0.55617214497670697,80,0.5481133177572085,29,2023.0313092805025
Baton-Rouge_LA,156,723793.0,32.91037630924864,64.70648375985952,0.4733870104362604,63,0.6278499201474756,28,0.678684666958396,23,0.0007711959878216761,69,0.54012070551872327,41,0.70207480330729366,38,0.34875640513059136,77,2169.9241550607949
Birmingham-Hoover_AL,221,956844.0,26.386955449373144,72.58612689215796,0.5876301452270396,5,0.7280164076206831,5,0.7752870144233333,3,0.001618661615550312,39,0.67996846853787563,10,0.83166330106334085,6,0.6659710108946473,12,1628.386032330573
Bloomington_IN,40,196909.0,1.736335058326435,95.66804970824087,0.47818401749776357,58,0.5189020522998745,92,0.5340455775364704,92,0.001915053592321683,29,0.46292372214859784,67,0.58854994546021555,75,0.3585163264298829,74,1563.4488956710418
"Boston-Cambridge-Newton,MA-NH",890,4138349.0,5.217008038713023,86.86812059591881,0.5171418358998033,30,0.6175489455715462,38,0.6490612707677291,39,0.0015038379035637202,42,0.55604826977310473,37,0.71234469147692037,35,0.6166336754241117,19,2018.4116241980075
Boulder_CO,68,262419.0,0.7339407588627347,89.23020055712429,0.43672825733229576,83,0.5106234006881551,97,0.5212645616777453,96,0.0008318100465139432,65,0.27025545586688049,99,0.37205259150132752,99,0.2241561729876327,93,2166.040166781077
Bridgeport-Stamford-Norwalk_CT,244,968270.0,8.337137368709142,81.32359775682403,0.5055059590130064,38,0.6250698099343004,31,0.6783165208106152,25,0.0014049005842984344,45,0.59710031430050503,25,0.72930269426490135,29,0.4825179977252762,52,1518.5997312364334
Buffalo-Cheektowaga-Niagara-Falls_NY,307,1249722.0,9.670070623706712,86.74841284701718,0.5768896819332872,9,0.6890033174195112,13,0.7383554655816249,11,0.0021315946474561175,24,0.69495238742685028,6,0.83180606801331103,5,0.6717921037599528,11,2107.604607453688
Burlington-South-Burlington_VT,59,245432.0,0.4807849017243065,97.6307083020959,0.48358897455019795,51,0.5018341988334203,101,0.5035023739892568,101,0.0037640578224471468,3,0.24102182972410496,101,0.3199466821822074,101,0.33545712793568716,83,1888.4696383142668
