
City,Edge,HEdge,Dissimilarity,Assortativity,Moran's I
Albany-Schenectady-Troy,0.4812096358378539,0.5149473568131047,[ 0.31949692],0.5044781427131219
Ann Arbor MI,0.4739061555615646,0.5054217604675337,[ 0.20198398],0.10581921193888157
Athens-Clark County GA,0.4624647528465908,0.5312670629868219,[ 0.36085906],0.3883187547694254
Austin-Round Rock TX,0.4329562357937944,0.5941604000897315,[ 0.38722173],0.5238913050301831
Bloomington IN,0.48497654015455305,0.503800423347135,[ 0.27478583],0.6303453495947384
Boston-Cambridge-Newton MA,0.5329323955409395,0.6227922518486606,[ 0.5350308],0.6346671963754008
Boulder CO,0.43937799541046774,0.5291467275578877,[ 0.36489517],0.24412715706618004
Bridgeport-Stamford-Norwalk CT,0.4951782109745907,0.6133494016391122,[ 0.49918914],0.5221832603333029
Burlington-South Burlington VT,0.4886191691154629,0.5010108801417502,[ 0.1760994],0.23594432357501255
Cedar Rapids IA,0.4846028433207488,0.5028729572428046,[ 0.23907239],0.42106317330780674
Chicago-Naperville-Elgin IL-IN-WI,0.5134170116759564,0.6550968937797789,[ 0.53645966],0.6309677924911434
Colorado Springs CO,0.4327711084154198,0.534548122347922,[ 0.28141942],0.4925173936522423
Des Moines-West Des Moines IA,0.4834637994345844,0.5328866305790282,[ 0.44636155],0.38416695088825303
Duluth MN-WI,0.49120135374990964,0.5011918786113198,[ 0.23875583],0.06585918917886366
El Paso TX,0.4456161346436899,0.54241676232822,[ 0.415842],0.38200768930860435
Flint MI,0.4788484145697872,0.5044148162891208,[ 0.18270496],0.3794151366238543
Grand Rapids-Wyoming MI,0.49279623732890254,0.5669629332317209,[ 0.46692802],0.5632581628079351
Harrisburg-Carlisle PA,0.4926598707702791,0.5341797490816595,[ 0.39074959],0.4166421896541711
Huntingdon PA,0.4899934242508978,0.5019740137457125,[ 0.29442613],0.03321265337939778
Iowa city IA,0.4705104947259341,0.5127858523000409,[ 0.41435523],0.0842611505350981
Ithaca NY,0.4775306219604448,0.5063196468146703,[ 0.27524218],0.31600734724002105
Jacksonville FL,0.4486390655449462,0.5114444897036011,[ 0.23910325],0.40054320660520126
Junction City KS,0.4269185737772144,0.5101810322957688,[ 0.24246489],0.18314193253963781
Kansas city MO-KS,0.48821723372016423,0.5572206153657899,[ 0.40471509],0.4516059269178166
Lafayette-West Lafayette IN,0.46095336593972613,0.513340784094136,[ 0.33556339],0.4323767856897987
Lancaster PA,0.5117100521866433,0.5847677240926648,[ 0.50000121],0.6754905041234692
Las Vegas-Henderson-Paradise NV,0.43978516974658544,0.6027146639875399,[ 0.36829772],0.58804413943244
Lincoln NE,0.4677832482898355,0.5159432505163788,[ 0.36455577],0.10068019049069069
Los Angeles-Long Beach-Anaheim CA,0.5492977531439165,0.7073301957439504,[ 0.51533289],0.6631862792858932
Madison WI,0.48008992562783465,0.5265389210753786,[ 0.35705622],0.4555372450769886
McAllen-Edingburg-Mission TX,0.45604563294305966,0.5126809770515888,[ 0.40066005],0.21338917481037728
Miami-Fort Lauderdale-West Palm Beach FL,0.5271377875527037,0.6883866604085604,[ 0.52646488],0.6914192865968208
New Haven-Milford CT,0.48666985517334815,0.59137255822558,[ 0.46651587],0.5108123116634624
New Orleans-Metairie LA,0.46216627757339906,0.5380135745874279,[ 0.33139259],0.4744054506474603
New York-Newark-Jersey City NY-NJ-PA,0.5500993968817288,0.6948162978659387,[ 0.488032],0.608662779740906
Oklahoma City-OK,0.4976033371568849,0.5948106161553437,[ 0.44246175],0.5871548963094614
Orlando-Kissimmee-Sanford FL,0.4271133713079157,0.5827669921906943,[ 0.37237781],0.5031309567549744
Philadelphia-Camden-Wilmington PA-NJ-DE-MD,0.5366226493832449,0.6316428437381157,[ 0.46765318],0.694755110882208
Phoenix-Mesa-Scottsdale AZ,0.4791967891771628,0.6361524075371799,[ 0.45256892],0.6203109846722339
Pittsburgh PA,0.4920905841661456,0.5021983473214048,[ 0.24294041],0.20242847860011604
Plattsburgh NY,0.48369966524045915,0.5016085520722839,[ 0.2842786],-0.045238703426949266
Providence-Warwick RI-MA,0.5416128767351511,0.6392087071780348,[ 0.56395511],0.6807222253756168
Reno NV,0.42345728700353025,0.5558374008321021,[ 0.36755459],0.43640023492285523
Rio Grande City TX,0.47755018983563774,0.5044491504172576,[ 0.3298259],0.2123002412227209
Riverside-San Bernadino-Ontario CA,0.42680976959178374,0.596378596538375,[ 0.37467815],0.541265670229348
Rochester NY,0.49960793932653424,0.5525321507006851,[ 0.41680106],0.7606943738984921
Salt Lake City UT,0.45112976847574116,0.5658205053067206,[ 0.4119048],0.6564791357876986
San Antonio-New Braunfels TX,0.4469634185432922,0.6143639882215358,[ 0.42035968],0.4425296162857099
San Diego-Carlsbad CA,0.4594020448919397,0.6241993067824363,[ 0.43119002],0.5710092594857337
Santa Cruz-Watsonville CA,0.5255564856603752,0.684774730381878,[ 0.53513638],0.7014481407015066
Santa Fe NM,0.4332634702331317,0.6039831167385731,[ 0.46430123],0.3596498003445468
Savannah GA,0.45762612598486285,0.5179704594775527,[ 0.32871476],0.18699606509997405
Syracuse NY,0.49134220598175815,0.5186533325549237,[ 0.35811923],0.358158120314637
Tallahassee FL,0.45969739843114843,0.5175719221474723,[ 0.23647069],0.3416570807560274
Tampa-St Petersburg-Clearwater FL,0.45276864163145436,0.5759458970135677,[ 0.35610487],0.5594758315041646
Toledo OH,0.4701655341201618,0.5146932427715109,[ 0.2749224],0.4314922765882482
Tucson AZ,0.46057214652250755,0.6262079586089105,[ 0.43853171],0.5035351671993857
