GEOid,GEOid2,GEOdisplay,TOTPOP,POP_HISP,POP_NOTHISP,POP_WHITE,POP_BLACK,POP_AMIN,POP_ASIAN,POP_NHPI,POP_OTHER,POP_2MORE
1400000US17031170600,17031170600,"Census Tract 1706, Cook County, Illinois",2498,360,2138,2013,4,1,99,0,3,18
1400000US17031170700,17031170700,"Census Tract 1707, Cook County, Illinois",2980,524,2456,2335,13,2,76,0,0,37
1400000US17031170800,17031170800,"Census Tract 1708, Cook County, Illinois",3721,800,2921,2721,30,0,137,0,3,35
1400000US17031170900,17031170900,"Census Tract 1709, Cook County, Illinois",1713,494,1219,1097,22,1,70,0,1,32
1400000US17031171000,17031171000,"Census Tract 1710, Cook County, Illinois",7287,1772,5515,5034,81,9,310,2,5,89
1400000US17031171100,17031171100,"Census Tract 1711, Cook County, Illinois",4110,1541,2569,2286,30,0,207,2,2,50
1400000US17031180100,17031180100,"Census Tract 1801, Cook County, Illinois",6156,2670,3486,3106,126,7,221,0,11,47
1400000US17031190100,17031190100,"Census Tract 1901, Cook County, Illinois",2488,1964,524,397,68,4,53,0,8,18
1400000US17031190200,17031190200,"Census Tract 1902, Cook County, Illinois",5853,4597,1256,992,157,7,143,0,11,23
1400000US17031190300,17031190300,"Census Tract 1903, Cook County, Illinois",5794,3665,2129,1892,100,3,140,0,14,20
1400000US17031190401,17031190401,"Census Tract 1904.01, Cook County, Illinois",4257,2664,1593,1236,88,2,236,0,2,56
1400000US17031190402,17031190402,"Census Tract 1904.02, Cook County, Illinois",5458,3666,1792,1480,165,3,159,0,12,35
1400000US17031190601,17031190601,"Census Tract 1906.01, Cook County, Illinois",4545,3717,828,561,165,6,94,0,1,40
1400000US17031190602,17031190602,"Census Tract 1906.02, Cook County, Illinois",5516,4388,1128,813,277,14,66,1,10,21
1400000US17031190701,17031190701,"Census Tract 1907.01, Cook County, Illinois",2955,2436,519,385,74,4,48,0,7,19
1400000US17031190702,17031190702,"Census Tract 1907.02, Cook County, Illinois",4869,4065,804,610,185,6,23,1,13,25
1400000US17031190800,17031190800,"Census Tract 1908, Cook County, Illinois",6632,5586,1046,769,274,6,53,1,22,35
1400000US17031190900,17031190900,"Census Tract 1909, Cook County, Illinois",2040,1677,363,252,78,1,37,0,5,11
1400000US17031191000,17031191000,"Census Tract 1910, Cook County, Illinois",2559,2300,259,158,111,5,8,0,1,8
1400000US17031191100,17031191100,"Census Tract 1911, Cook County, Illinois",7414,6526,888,420,472,2,65,4,24,23
1400000US17031191200,17031191200,"Census Tract 1912, Cook County, Illinois",3853,3591,262,157,121,3,3,0,5,9
1400000US17031191301,17031191301,"Census Tract 1913.01, Cook County, Illinois",5397,4509,888,266,546,1,123,1,2,18
1400000US17031191302,17031191302,"Census Tract 1913.02, Cook County, Illinois",5034,4358,676,335,317,4,72,0,10,29
1400000US17031200100,17031200100,"Census Tract 2001, Cook County, Illinois",4354,3334,1020,739,136,7,153,0,12,18
1400000US17031200200,17031200200,"Census Tract 2002, Cook County, Illinois",5427,4700,727,457,275,3,70,0,12,33
1400000US17031200300,17031200300,"Census Tract 2003, Cook County, Illinois",2209,1956,253,168,92,1,11,1,0,12
1400000US17031200401,17031200401,"Census Tract 2004.01, Cook County, Illinois",3603,3219,384,202,202,1,19,0,6,16
1400000US17031200402,17031200402,"Census Tract 2004.02, Cook County, Illinois",4396,4058,338,136,203,1,23,0,4,25
1400000US17031210100,17031210100,"Census Tract 2101, Cook County, Illinois",4028,2189,1839,1426,106,6,225,0,10,85
1400000US17031210400,17031210400,"Census Tract 2104, Cook County, Illinois",3035,2275,760,631,75,4,53,0,2,21
1400000US17031210501,17031210501,"Census Tract 2105.01, Cook County, Illinois",3900,2459,1441,1266,108,2,62,0,3,25
1400000US17031210502,17031210502,"Census Tract 2105.02, Cook County, Illinois",4486,2967,1519,1314,129,4,73,0,9,47
1400000US17031210601,17031210601,"Census Tract 2106.01, Cook County, Illinois",3104,2164,940,685,103,13,120,0,8,27
1400000US17031210602,17031210602,"Census Tract 2106.02, Cook County, Illinois",4683,3487,1196,878,229,9,68,0,6,52
1400000US17031210700,17031210700,"Census Tract 2107, Cook County, Illinois",4309,2772,1537,1220,160,8,129,2,15,49
1400000US17031210800,17031210800,"Census Tract 2108, Cook County, Illinois",1196,856,340,298,26,2,14,0,0,10
1400000US17031210900,17031210900,"Census Tract 2109, Cook County, Illinois",3068,1631,1437,1142,138,3,114,0,7,59
1400000US17031220300,17031220300,"Census Tract 2203, Cook County, Illinois",2102,762,1340,1170,98,2,58,0,7,24
1400000US17031220400,17031220400,"Census Tract 2204, Cook County, Illinois",2495,899,1596,1390,86,2,81,2,7,51
1400000US17031220500,17031220500,"Census Tract 2205, Cook County, Illinois",2626,842,1784,1468,165,1,101,0,8,62
1400000US17031220601,17031220601,"Census Tract 2206.01, Cook County, Illinois",1766,871,895,726,128,4,38,0,0,28
1400000US17031220602,17031220602,"Census Tract 2206.02, Cook County, Illinois",5064,2363,2701,2109,402,20,146,2,15,72
1400000US17031220701,17031220701,"Census Tract 2207.01, Cook County, Illinois",3437,2701,736,577,134,1,30,1,4,35
1400000US17031220702,17031220702,"Census Tract 2207.02, Cook County, Illinois",4060,2942,1118,794,309,7,52,6,15,29
1400000US17031220901,17031220901,"Census Tract 2209.01, Cook County, Illinois",3498,2813,685,297,385,8,29,0,16,23
1400000US17031220902,17031220902,"Census Tract 2209.02, Cook County, Illinois",3371,2833,538,397,151,3,17,0,10,19
1400000US17031221000,17031221000,"Census Tract 2210, Cook County, Illinois",2923,2072,851,567,281,2,31,0,5,20
1400000US17031221100,17031221100,"Census Tract 2211, Cook County, Illinois",4870,2703,2167,1560,547,5,66,2,5,67
1400000US17031221200,17031221200,"Census Tract 2212, Cook County, Illinois",2860,1248,1612,1296,214,1,85,1,3,45
1400000US17031221300,17031221300,"Census Tract 2213, Cook County, Illinois",3222,1657,1565,1276,192,4,90,4,4,47
1400000US17031221400,17031221400,"Census Tract 2214, Cook County, Illinois",3020,1779,1241,1047,77,4,79,1,13,37
1400000US17031221500,17031221500,"Census Tract 2215, Cook County, Illinois",2829,1365,1464,1156,211,5,86,4,7,32
1400000US17031221600,17031221600,"Census Tract 2216, Cook County, Illinois",2969,549,2420,2173,70,2,118,0,5,55
1400000US17031222200,17031222200,"Census Tract 2222, Cook County, Illinois",1912,278,1634,1445,47,4,109,0,4,30
1400000US17031222500,17031222500,"Census Tract 2225, Cook County, Illinois",1410,895,515,373,128,3,18,0,1,8
1400000US17031222600,17031222600,"Census Tract 2226, Cook County, Illinois",1602,803,799,558,199,7,22,0,2,33
1400000US17031222700,17031222700,"Census Tract 2227, Cook County, Illinois",2235,1488,747,418,344,3,12,0,1,17
1400000US17031222800,17031222800,"Census Tract 2228, Cook County, Illinois",1074,829,245,89,141,0,3,0,11,14
1400000US17031222900,17031222900,"Census Tract 2229, Cook County, Illinois",1244,1068,176,78,101,1,15,0,1,2
1400000US17031230100,17031230100,"Census Tract 2301, Cook County, Illinois",1623,1038,585,276,285,1,21,0,0,22
1400000US17031230200,17031230200,"Census Tract 2302, Cook County, Illinois",2107,1684,423,157,266,1,11,2,1,14
1400000US17031230300,17031230300,"Census Tract 2303, Cook County, Illinois",1024,906,118,43,90,2,3,0,0,8
1400000US17031230400,17031230400,"Census Tract 2304, Cook County, Illinois",2609,2329,280,135,164,4,15,1,5,16
1400000US17031230500,17031230500,"Census Tract 2305, Cook County, Illinois",3570,3130,440,81,374,2,23,0,2,13
1400000US17031230600,17031230600,"Census Tract 2306, Cook County, Illinois",6818,4297,2521,196,2375,4,9,18,7,32
1400000US17031230700,17031230700,"Census Tract 2307, Cook County, Illinois",6364,5199,1165,218,993,13,34,1,10,34
1400000US17031230800,17031230800,"Census Tract 2308, Cook County, Illinois",1314,1148,166,85,87,0,10,0,3,4
1400000US17031230900,17031230900,"Census Tract 2309, Cook County, Illinois",5399,3640,1759,622,1208,11,33,1,16,51
1400000US17031231100,17031231100,"Census Tract 2311, Cook County, Illinois",1236,322,914,18,921,0,1,0,0,8
1400000US17031231200,17031231200,"Census Tract 2312, Cook County, Illinois",6095,1665,4430,96,4388,6,0,0,6,32
1400000US17031231500,17031231500,"Census Tract 2315, Cook County, Illinois",6039,393,5646,90,5566,5,7,0,5,54
1400000US17031240200,17031240200,"Census Tract 2402, Cook County, Illinois",1452,213,1239,1085,46,0,88,0,0,32
1400000US17031240300,17031240300,"Census Tract 2403, Cook County, Illinois",1317,143,1174,1055,8,2,68,0,3,38
1400000US17031240500,17031240500,"Census Tract 2405, Cook County, Illinois",2251,184,2067,1831,54,0,129,3,7,45
1400000US17031240600,17031240600,"Census Tract 2406, Cook County, Illinois",1457,728,729,602,64,4,43,1,0,37
1400000US17031240700,17031240700,"Census Tract 2407, Cook County, Illinois",1535,921,614,353,198,2,60,0,1,33
1400000US17031240800,17031240800,"Census Tract 2408, Cook County, Illinois",1617,1098,519,311,218,4,17,0,0,16
1400000US17031240900,17031240900,"Census Tract 2409, Cook County, Illinois",1182,647,535,250,245,3,44,0,1,15
1400000US17031241000,17031241000,"Census Tract 2410, Cook County, Illinois",2047,1092,955,389,574,1,20,1,1,42
1400000US17031241100,17031241100,"Census Tract 2411, Cook County, Illinois",3682,1420,2262,1430,699,7,123,0,5,93
1400000US17031241200,17031241200,"Census Tract 2412, Cook County, Illinois",1696,399,1297,979,157,2,121,0,6,43
1400000US17031241300,17031241300,"Census Tract 2413, Cook County, Illinois",1857,252,1605,1276,205,3,80,0,2,42
1400000US17031241400,17031241400,"Census Tract 2414, Cook County, Illinois",4595,631,3964,3337,339,5,209,1,13,82
1400000US17031241500,17031241500,"Census Tract 2415, Cook County, Illinois",2872,598,2274,1963,82,3,152,0,10,75
1400000US17031241600,17031241600,"Census Tract 2416, Cook County, Illinois",3477,1051,2426,2078,116,11,166,0,5,56
1400000US17031242000,17031242000,"Census Tract 2420, Cook County, Illinois",4565,1368,3197,2127,851,6,154,0,9,71
1400000US17031242100,17031242100,"Census Tract 2421, Cook County, Illinois",3648,859,2789,2438,74,13,174,6,9,83
1400000US17031242200,17031242200,"Census Tract 2422, Cook County, Illinois",3590,763,2827,2524,90,0,164,0,15,43
1400000US17031242300,17031242300,"Census Tract 2423, Cook County, Illinois",3240,444,2796,2532,64,6,137,1,11,52
1400000US17031242400,17031242400,"Census Tract 2424, Cook County, Illinois",2764,212,2552,2357,42,2,97,0,5,53
1400000US17031242500,17031242500,"Census Tract 2425, Cook County, Illinois",3438,1268,2170,1909,165,0,78,1,6,42
1400000US17031242600,17031242600,"Census Tract 2426, Cook County, Illinois",5831,2665,3166,2411,692,3,80,2,8,73
1400000US17031242700,17031242700,"Census Tract 2427, Cook County, Illinois",2029,1014,1015,437,609,2,10,1,2,23
1400000US17031242800,17031242800,"Census Tract 2428, Cook County, Illinois",1436,272,1164,1089,33,1,27,1,1,16
1400000US17031242900,17031242900,"Census Tract 2429, Cook County, Illinois",1670,436,1234,1142,28,2,32,0,0,31
1400000US17031243000,17031243000,"Census Tract 2430, Cook County, Illinois",2204,775,1429,1253,75,1,75,1,1,43
1400000US17031243100,17031243100,"Census Tract 2431, Cook County, Illinois",2242,1110,1132,979,69,1,63,2,2,33
1400000US17031243200,17031243200,"Census Tract 2432, Cook County, Illinois",2170,877,1293,1099,86,3,72,0,7,32
1400000US17031243300,17031243300,"Census Tract 2433, Cook County, Illinois",2386,633,1753,1577,42,15,95,1,2,28
1400000US17031243400,17031243400,"Census Tract 2434, Cook County, Illinois",3001,1167,1834,1496,209,5,85,0,3,51
1400000US17031243500,17031243500,"Census Tract 2435, Cook County, Illinois",2937,267,2670,1990,397,6,201,3,12,68
1400000US17031250200,17031250200,"Census Tract 2502, Cook County, Illinois",2669,972,1697,96,1618,7,22,2,8,10
1400000US17031250300,17031250300,"Census Tract 2503, Cook County, Illinois",4725,1024,3701,82,3570,16,47,0,8,32
1400000US17031250400,17031250400,"Census Tract 2504, Cook County, Illinois",5887,779,5108,104,4987,11,9,5,0,45
1400000US17031250500,17031250500,"Census Tract 2505, Cook County, Illinois",7538,1878,5660,2951,2361,3,241,1,14,128
1400000US17031250600,17031250600,"Census Tract 2506, Cook County, Illinois",4422,337,4085,53,3999,5,25,0,0,39
1400000US17031250700,17031250700,"Census Tract 2507, Cook County, Illinois",6098,348,5750,41,5719,4,13,0,7,29
1400000US17031250800,17031250800,"Census Tract 2508, Cook County, Illinois",2488,393,2095,14,2064,3,21,0,0,17
1400000US17031251000,17031251000,"Census Tract 2510, Cook County, Illinois",1181,100,1081,13,1072,2,0,0,0,5
1400000US17031251100,17031251100,"Census Tract 2511, Cook County, Illinois",4302,215,4087,25,4038,18,9,0,2,26
1400000US17031251200,17031251200,"Census Tract 2512, Cook County, Illinois",4196,276,3920,33,3892,2,1,0,3,26
1400000US17031251300,17031251300,"Census Tract 2513, Cook County, Illinois",4921,252,4669,53,4601,8,4,0,2,40
1400000US17031251400,17031251400,"Census Tract 2514, Cook County, Illinois",3983,140,3843,163,3641,3,9,0,6,46
1400000US17031251500,17031251500,"Census Tract 2515, Cook County, Illinois",4784,107,4677,70,4559,4,19,0,6,44
1400000US17031251600,17031251600,"Census Tract 2516, Cook County, Illinois",3649,135,3514,26,3501,9,1,0,0,20
1400000US17031251700,17031251700,"Census Tract 2517, Cook County, Illinois",1495,145,1350,14,1344,0,0,0,0,7
1400000US17031251800,17031251800,"Census Tract 2518, Cook County, Illinois",5112,91,5021,15,4998,8,0,1,1,29
1400000US17031251900,17031251900,"Census Tract 2519, Cook County, Illinois",5731,137,5594,76,5507,8,2,1,2,42
1400000US17031252000,17031252000,"Census Tract 2520, Cook County, Illinois",5719,103,5616,84,5509,8,7,2,0,41
1400000US17031252101,17031252101,"Census Tract 2521.01, Cook County, Illinois",1370,20,1350,26,1306,0,4,0,0,24
1400000US17031252102,17031252102,"Census Tract 2521.02, Cook County, Illinois",6438,42,6396,27,6294,23,1,1,2,69
1400000US17031252201,17031252201,"Census Tract 2522.01, Cook County, Illinois",2953,37,2916,56,2853,8,0,0,0,5
1400000US17031252202,17031252202,"Census Tract 2522.02, Cook County, Illinois",4609,61,4548,25,4509,1,6,0,0,34
1400000US17031260100,17031260100,"Census Tract 2601, Cook County, Illinois",1248,49,1199,17,1181,5,0,0,1,7
1400000US17031260200,17031260200,"Census Tract 2602, Cook County, Illinois",1136,26,1110,17,1089,0,0,0,0,13
1400000US17031260300,17031260300,"Census Tract 2603, Cook County, Illinois",1564,37,1527,5,1521,5,0,0,0,13
1400000US17031260400,17031260400,"Census Tract 2604, Cook County, Illinois",1271,51,1220,2,1219,0,0,0,0,22
1400000US17031260500,17031260500,"Census Tract 2605, Cook County, Illinois",1934,12,1922,10,1897,1,0,0,0,15
1400000US17031260600,17031260600,"Census Tract 2606, Cook County, Illinois",2478,38,2440,21,2395,0,1,0,0,37
1400000US17031260700,17031260700,"Census Tract 2607, Cook County, Illinois",2032,21,2011,15,1982,3,1,0,7,18
1400000US17031260800,17031260800,"Census Tract 2608, Cook County, Illinois",2539,60,2479,30,2427,5,3,0,2,30
1400000US17031260900,17031260900,"Census Tract 2609, Cook County, Illinois",1480,28,1452,13,1446,1,0,0,0,4
1400000US17031261000,17031261000,"Census Tract 2610, Cook County, Illinois",2319,26,2293,3,2291,2,3,1,0,5
1400000US17031270500,17031270500,"Census Tract 2705, Cook County, Illinois",1689,41,1648,5,1638,2,1,0,0,15
1400000US17031271200,17031271200,"Census Tract 2712, Cook County, Illinois",1170,31,1139,36,1107,0,2,0,0,10
1400000US17031271300,17031271300,"Census Tract 2713, Cook County, Illinois",1045,22,1023,9,1013,4,0,0,1,6
1400000US17031271400,17031271400,"Census Tract 2714, Cook County, Illinois",1527,27,1500,38,1451,4,5,1,1,13
1400000US17031271500,17031271500,"Census Tract 2715, Cook County, Illinois",1397,28,1369,14,1345,0,1,0,2,13
1400000US17031271800,17031271800,"Census Tract 2718, Cook County, Illinois",970,17,953,13,933,0,0,0,0,11
1400000US17031280100,17031280100,"Census Tract 2801, Cook County, Illinois",4872,255,4617,3567,225,5,728,0,4,95
1400000US17031280400,17031280400,"Census Tract 2804, Cook County, Illinois",1366,67,1299,97,1163,5,30,0,0,17
1400000US17031280800,17031280800,"Census Tract 2808, Cook County, Illinois",755,26,729,23,709,1,1,0,0,2
1400000US17031280900,17031280900,"Census Tract 2809, Cook County, Illinois",942,32,910,36,839,2,23,0,1,11
1400000US17031281900,17031281900,"Census Tract 2819, Cook County, Illinois",4844,287,4557,2515,397,11,1450,3,46,154
1400000US17031282700,17031282700,"Census Tract 2827, Cook County, Illinois",2349,616,1733,437,1057,1,197,0,4,46
1400000US17031282800,17031282800,"Census Tract 2828, Cook County, Illinois",1691,599,1092,552,324,3,198,0,7,23
1400000US17031283100,17031283100,"Census Tract 2831, Cook County, Illinois",2703,176,2527,879,922,1,673,1,8,50
1400000US17031283200,17031283200,"Census Tract 2832, Cook County, Illinois",1664,130,1534,669,615,5,196,0,2,55
1400000US17031283800,17031283800,"Census Tract 2838, Cook County, Illinois",3688,350,3338,1047,1854,2,345,3,5,102
1400000US17031290900,17031290900,"Census Tract 2909, Cook County, Illinois",4530,127,4403,32,4340,7,0,0,2,39
1400000US17031291200,17031291200,"Census Tract 2912, Cook County, Illinois",2240,40,2200,4,2190,0,4,0,0,7
1400000US17031291600,17031291600,"Census Tract 2916, Cook County, Illinois",1055,737,318,64,262,5,17,0,0,5
1400000US17031292200,17031292200,"Census Tract 2922, Cook County, Illinois",2961,87,2874,47,2790,2,6,0,10,29
1400000US17031292400,17031292400,"Census Tract 2924, Cook County, Illinois",2268,51,2217,23,2186,1,3,0,0,12
1400000US17031292500,17031292500,"Census Tract 2925, Cook County, Illinois",4140,100,4040,23,3984,8,3,1,6,38
1400000US17031300500,17031300500,"Census Tract 3005, Cook County, Illinois",3257,2815,442,74,358,3,6,0,5,5
1400000US17031300600,17031300600,"Census Tract 3006, Cook County, Illinois",3212,2485,727,119,612,7,7,0,3,4
1400000US17031300700,17031300700,"Census Tract 3007, Cook County, Illinois",5194,4930,264,93,175,8,4,0,5,9
1400000US17031300800,17031300800,"Census Tract 3008, Cook County, Illinois",4610,4416,194,55,117,1,4,0,24,11
1400000US17031300900,17031300900,"Census Tract 3009, Cook County, Illinois",5050,4876,174,81,99,6,2,0,1,1
1400000US17031301100,17031301100,"Census Tract 3011, Cook County, Illinois",2617,2369,248,117,124,0,3,1,1,6
1400000US17031301200,17031301200,"Census Tract 3012, Cook County, Illinois",4012,3642,370,122,236,9,4,0,6,14
1400000US17031301600,17031301600,"Census Tract 3016, Cook County, Illinois",4654,4557,97,71,42,2,0,0,9,4
1400000US17031301701,17031301701,"Census Tract 3017.01, Cook County, Illinois",4381,4323,58,31,36,0,5,0,7,1
1400000US17031301702,17031301702,"Census Tract 3017.02, Cook County, Illinois",4045,3936,109,94,15,1,1,0,8,1
1400000US17031301801,17031301801,"Census Tract 3018.01, Cook County, Illinois",4005,3887,118,86,53,1,3,0,3,2
